Date,Open,High,Low,Last,Close
10/01/2022,792.1,792.42,770.31,773.13,773.13
07/01/2022,788.95,789.94,783.63,788.43,788.43
06/01/2022,786.92,789.28,779.84,785.9,785.9
05/01/2022,802.5,805.66,799.58,800.75,800.75
04/01/2022,808.76,812.55,802.28,804.28,804.28
03/01/2022,802.5,805.85,800.62,803.31,803.31
31/12/2021,799.65,800.66,796.59,797.93,797.93
30/12/2021,797.68,800.83,797.13,800.25,800.25
29/12/2021,801.5,802.28,793.56,796.12,796.12
28/12/2021,796.99,803.59,796.61,800.95,800.95
27/12/2021,788.84,798.51,788.4,797.3,797.3
24/12/2021,791.84,793.34,790.48,790.48,790.48
23/12/2021,787.55,793.2,784.37,792.3,792.3
22/12/2021,777.63,782.08,773.95,782.08,782.08
21/12/2021,771.54,775.97,768.74,774.95,774.95
20/12/2021,757.25,765.51,755.57,763.03,763.03
17/12/2021,776.58,778,765.56,771.7,771.7
16/12/2021,791.11,793.06,781.59,781.59,781.59
15/12/2021,778.35,780.44,774.54,775.46,775.46
14/12/2021,786.61,788.08,775.31,775.75,775.75
13/12/2021,791.41,796.23,782.47,783,783
10/12/2021,786.05,793.73,786.05,788.01,788.01
09/12/2021,800.23,800.83,790.93,791.91,791.91
08/12/2021,805.07,809.16,797.72,797.72,797.72
07/12/2021,789.95,806.13,789.63,805.78,805.78
